gas,brake,rpm,steer,speed,g_force_x,g_force_y,g_force_z,wheel_slip_front_left,wheel_slip_front_right,wheel_slip_rear_left,wheel_slip_rear_right,pressure_front_left,pressure_front_right,pressure_rear_left,pressure_rear_right,tyre_temp_front_left,tyre_temp_front_right,tyre_temp_rear_left,tyre_temp_rear_right,air_temp,road_temp,yaw_rate,current_time_str,normalized_car_position,wind_speed,wind_direction,result
1.0,0.0,2633,0.0,14.32560920715332,0.4948311150074005,0.004358622245490551,0.002090085530653596,0.07482799142599106,0.06968788057565689,0.24906378984451294,0.24649645388126373,22.629438400268555,22.629438400268555,22.630857467651367,22.630918502807617,79.95439147949219,79.95439147949219,79.96797180175781,79.96855163574219,26.0,36.0,-0.0001717867999104783,0:21:780,0.9944967031478882,0.0,-168.0,neutral
1.0,0.0,2632,0.0,16.382747650146484,0.6016401648521423,-0.001410755910910666,-0.005681863985955715,0.07695488631725311,0.07035480439662933,0.2801448106765747,0.27756956219673157,22.627836227416992,22.627836227416992,22.629728317260742,22.629793167114258,79.93903350830078,79.93903350830078,79.95714569091797,79.95772552490234,26.0,36.0,-0.00013135335757397115,0:21:879,0.994575023651123,0.0,-168.0,neutral
0.0,0.0,2470,0.0,16.7139835357666,-0.10980778187513351,0.0022115102037787437,0.0018116814317181706,0.08104974031448364,0.07577832788228989,0.11062567681074142,0.10379042476415634,22.626188278198242,22.626188278198242,22.628564834594727,22.62862205505371,79.92321014404297,79.92321014404297,79.94599151611328,79.94657135009766,26.0,36.0,-0.00020541882258839905,0:21:978,0.9946621656417847,0.0,-168.0,neutral
0.3479999303817749,0.0,2555,0.0,16.827402114868164,0.13500702381134033,-0.001596265472471714,-0.00829334370791912,0.07451757043600082,0.06779952347278595,0.11621397733688354,0.1096484437584877,22.62458610534668,22.62458610534668,22.627431869506836,22.62749671936035,79.90785217285156,79.90785217285156,79.93516540527344,79.93574523925781,26.0,36.0,-6.213184678927064e-05,0:22:080,0.9947526454925537,0.0,-168.0,neutral
0.7560003995895386,0.0,2598,0.0,17.678434371948242,0.3452359437942505,0.0010560017544776201,0.0004211926425341517,0.07449132204055786,0.06786558777093887,0.17472702264785767,0.17067569494247437,22.62293243408203,22.62293243408203,22.626270294189453,22.626331329345703,79.89202880859375,79.89202880859375,79.92401123046875,79.92459106445312,26.0,36.0,4.534240360953845e-05,0:22:179,0.994841992855072,0.0,-168.0,neutral
1.0,0.0,2629,0.0,19.37337875366211,0.5455612540245056,-0.0008180428412742913,-0.006360719911754131,0.07497748732566833,0.06815869361162186,0.25262391567230225,0.2496013641357422,22.621334075927734,22.621334075927734,22.625141143798828,22.625198364257812,79.87667083740234,79.87667083740234,79.9131851196289,79.91376495361328,26.0,36.0,-4.125606210436672e-05,0:22:281,0.994939923286438,0.0,-168.0,neutral
1.0,0.0,2630,0.0,21.37778091430664,0.5574114322662354,0.00037587922997772694,-0.0019085878739133477,0.07709802687168121,0.07038834691047668,0.2608245313167572,0.25801780819892883,22.61968231201172,22.61968231201172,22.623977661132812,22.624038696289062,79.86084747314453,79.86084747314453,79.90203094482422,79.9026107788086,26.0,36.0,-7.447830284945667e-05,0:22:380,0.9950444102287292,0.0,-168.0,neutral
1.0,0.0,2631,0.0,23.31841468811035,0.5543994307518005,0.0002020129031734541,-0.004940066486597061,0.07703393697738647,0.07024523615837097,0.25922778248786926,0.2563707232475281,22.61807632446289,22.61807632446289,22.622848510742188,22.622905731201172,79.84548950195312,79.84548950195312,79.89120483398438,79.89178466796875,26.0,36.0,-5.954940934316255e-05,0:22:479,0.9951592683792114,0.0,-168.0,neutral
1.0,0.0,2634,0.0,25.313337326049805,0.5533602833747864,0.0001591884793015197,-0.003238737815991044,0.07711697369813919,0.07034330815076828,0.2582857608795166,0.255449116230011,22.61642837524414,22.61642837524414,22.621681213378906,22.621746063232422,79.82966613769531,79.82966613769531,79.88005065917969,79.88063049316406,26.0,36.0,-6.782948184991255e-05,0:22:581,0.9952884316444397,0.0,-168.0,neutral
1.0,0.0,2640,0.0,27.244760513305664,0.551777184009552,0.00018212567374575883,-0.004055730067193508,0.0771135464310646,0.07035615295171738,0.2581211030483246,0.25528067350387573,22.614826202392578,22.614826202392578,22.620555877685547,22.62061309814453,79.8143081665039,79.8143081665039,79.86922454833984,79.86980438232422,26.0,36.0,-7.233989890664816e-05,0:22:680,0.9954236745834351,0.0,-168.0,neutral
